year,month,company,short,color,rev,cos,gp,sga,ebitda,np,budRev,budGP,budEBITDA,budNP,cash,inventory,currentAssets,currentLiabilities,totalAssets,totalLiabilities,equity,accountsReceivable,accountsPayable,Debt
2026,Jan,Global Medical Co,GMC,#4f8ef7,1411386.59,1025165.53,386221.06,612627.1925,-52213.9825,-226406.1325,1950500,584923.5062,195271.6047,45031.82271,552135.56,8441690.85,15208436.72,24039839.13,38900224.88,26262358.92,12637898.56,5975115.31,5772641.55,16299875.26
2026,Jan,Aida Clinic,AC,#10b981,2855507.34,1264860.195,1590647.145,1354315.429,516789.5862,236331.7162,2908333.333,1536371.042,350941.253,258631.69,715439.268,2806689.072,3767809.089,11714497.54,9868155.151,14513391.91,-4645236.762,104539.73,447739.821,7865049.871
2026,Jan,Gulf Avenues,GA,#f59e0b,12435,0,12435,11612.64912,937.0108847,822.3508847,30783.33333,30783.33333,15618.91867,15430.76667,469595.26,0,535971.54,1313129.54,-860428.24,-68535.54,-791892.73,47694.87,0,0
2026,Jan,Al Raya Equipment,ARE,#ef4444,0,914,914,43835.37667,-44039.37667,-44749.37667,233306.3904,97658.43534,7482.088678,-1850.975226,68621.61,2716550.812,3399590.112,5776635.035,1517188.402,3994850.178,-2477661.776,580823,1028922.664,65697
2026,Jan,Aida Holding,AH,#a855f7,0,0,0,72944.22119,38061.85881,-72944.22119,0,0,-75857.85614,-75857.85614,56728.92,0,241599.41,1311169.115,61329012.72,10670590.54,50658422.18,0,526561.05,9878341.64
2026,Jan,Gulf Yachts,GY,#ec4899,537370,356010.06,181359.94,289225.0428,-68580.58278,-107865.1028,800000,154900,-99620.05133,-304046.8683,100778.227,2478265.57,8584798.017,14192593.15,10370107.14,12607236.4,-2237129.258,5833836.48,248856.226,5900000
2026,Jan,GY Marine Services,GMC2,#06b6d4,340932.94,315354.73,25578.21,167337.11,-90774.12,-141758.9,749213.6566,197752.7838,82618.15448,-129751.8589,633720.09,6494611.67,9489879.96,14499472.28,12882563.66,14738979.17,-1856415.53,2268980.37,5723556.61,8608725
2026,Feb,Global Medical Co,GMC,#4f8ef7,2581361.18,1874855.29,706505.89,1118567.225,-53779.245,-412061.335,3594000,1050816.546,278462.743,-22016.82099,465361.24,8070134.61,14454044.24,23984073.42,38321682.28,26222317.21,12099397.67,5697708.9,5553299.1,16425270.14
2026,Feb,Aida Clinic,AC,#10b981,5205318.99,2564089.061,2641229.929,2646839.648,567740.6406,-5609.719445,5716666.667,2991943.301,623515.9167,438896.7907,578679.448,2854478.756,3661090.213,12203682.6,9400865.815,14280730.98,-4879865.168,100028.44,481168.841,7558983.871
2026,Feb,Gulf Avenues,GA,#f59e0b,24870,0,24870,24895.1273,193.0927047,-25.12729526,61566.66667,61566.66667,31237.83733,30861.53333,191577.06,0,371760.34,1073149.54,-1024759.57,-308246.74,-716512.86,149561.87,0,0
